category,n,a,a_err,mean_fgas,mean_logmstar
Gas: Gas-rich,444374,0.017282733065635086,0.008084273769253273,0.8955733,9.049732
Gas: Intermediate,28810,0.01001038440017955,0.0038886714649731466,0.34886408,9.871892
Gas: Gas-poor,150425,0.029387799817339404,0.014039260139035047,0.004287357,8.946248
Gas-poor + Low mass,115980,0.05155510899206746,0.014195050568322987,0.0015331309,8.585541
Gas-poor + Mid mass,25665,-0.02165341683199872,0.0035395862595250277,0.011273954,9.961308
Gas-poor + High mass,8779,-0.013799588234903968,0.0010569582146393774,0.02024528,10.743725
TRUE R-DOM (gas-poor + quiescent),149519,0.029413659513265786,0.014004319521562529,0.0036417502,8.940129
True R-dom + Low mass,115813,0.05114596929477728,0.014174738934834348,0.0013841877,8.584779
True R-dom + Mid mass,25019,-0.021112913212872366,0.0035184439330352597,0.008628177,9.958663
True R-dom + High mass,8686,-0.013418557265475799,0.0008647218612888004,0.019376196,10.743976
EXTREME R-DOM,16924,-0.018719582482164352,0.002782751220942665,0.0033105821,10.464365
