stellar_mass,gas_mass,vmax,pos_x,pos_y,pos_z,sfr,baryonic_mass,gas_fraction,log_env,log_mbar,log_vmax,btfr_residual
3705584700000.0,57581905000000.0,999.38513,0.8490914,26.326996,18.306934,2.227189,61287490000000.0,0.9395377,5.183039518932923,13.787372,2.999733,0.22709179
558791700000.0,6562718400000.0,514.7759,0.106473334,24.633322,16.900553,0.41328505,7121510300000.0,0.92153466,2.9159728585666396,12.852572,2.7116182,0.34007072
627139600000.0,186177040000.0,461.64127,0.85311234,26.725748,17.51068,17.392204,813316640000.0,0.22891091,3.874720828560501,11.910259,2.6643047,-0.4301796
171551460000.0,250490130000.0,291.93655,0.24545503,26.517372,15.888749,5.0793796,422041580000.0,0.59352,1.6662824741494842,11.625355,2.4652884,0.008672714
133340406000.0,139345220000.0,294.43298,0.76878434,26.51829,15.530523,1.4146897,272685630000.0,0.51101047,1.5892996140755884,11.435662,2.4689865,-0.1944685
192150200000.0,30416329000.0,311.58014,1.4265924,26.341442,19.041204,0.88655853,222566510000.0,0.13666175,1.6931848896487487,11.34746,2.4935699,-0.37207222
289372440000.0,25751468000.0,369.4471,0.9047556,26.611113,17.832447,2.1843414,315123900000.0,0.08171855,2.452763826142395,11.498482,2.5675523,-0.4900999
192698550000.0,252006600.0,336.25394,1.4113867,26.663296,17.276665,0.0,192950550000.0,0.0013060683,1.466048012785221,11.285446,2.5266674,-0.554451
223140360000.0,190500450.0,329.11383,0.8358986,26.505188,17.452578,0.0,223330860000.0,0.00085299654,2.4214020889311154,11.3489485,2.5173461,-0.45705032
201115710000.0,0.0,290.87436,0.47190374,26.572104,18.04841,0.0,201115710000.0,0.0,2.1394493495671543,11.303446,2.4637055,-0.30747986
236774640000.0,26236522000.0,306.5525,0.67834157,26.605988,17.741858,1.4603422,263011160000.0,0.09975441,2.61257628181443,11.419974,2.4865048,-0.27386475
260189700000.0,0.0,352.19357,0.9706393,26.250538,18.49718,0.0,260189700000.0,0.0,3.006453232738968,11.41529,2.5467815,-0.497756
83734815000.0,0.0,268.09863,1.5627774,26.057068,19.946928,0.0,83734815000.0,0.0,0.8272122598709108,10.922906,2.4282947,-0.55924225
97074135000.0,0.0,301.77054,0.4156307,26.61785,18.842167,0.0,97074135000.0,0.0,1.582480425583759,10.987103,2.4796767,-0.68190384
168427320000.0,0.0,321.88788,1.091412,26.475313,17.796076,0.0,168427320000.0,0.0,2.68291127100575,11.226413,2.5077047,-0.54452324
71538480000.0,9751864000.0,236.49448,74.981705,24.406025,16.521425,0.013021496,81290350000.0,0.11996338,1.6952794659807031,10.910039,2.373821,-0.37400627
100577210000.0,108902520.0,300.34732,1.5978258,25.476355,18.224522,0.0,100686110000.0,0.0010816042,1.5695340568874856,11.00297,2.4776237,-0.65857124
78666190000.0,6093175000.0,258.65738,0.31345883,24.55095,16.731028,0.058373336,84759360000.0,0.071887925,2.1775874864200393,10.928187,2.412725,-0.49733925
86144800000.0,2274733000.0,209.17278,0.88311213,25.37348,19.171032,0.017469922,88419530000.0,0.02572659,1.6952322029149638,10.946548,2.3205051,-0.14360523
132973175000.0,0.0,278.62158,0.95881605,26.127829,18.432163,0.0,132973175000.0,0.0,2.713033479084154,11.123764,2.4450147,-0.41918945
42819490000.0,38450876000.0,195.94662,0.37964454,25.079288,16.587719,0.46135437,81270370000.0,0.47312295,1.4328140683682844,10.909932,2.2921379,-0.07705879
109763940000.0,0.0,244.64186,0.653423,26.298111,18.503448,0.0,109763940000.0,0.0,2.558650166723363,11.04046,2.3885307,-0.29708004
48091492000.0,13990495.0,251.97499,0.76187587,25.661669,18.37137,0.0,48105484000.0,0.0002908295,1.7543651613237825,10.682195,2.4013574,-0.7019911
107320250000.0,0.0,330.30118,0.156531,24.642834,16.906517,0.0,107320250000.0,0.0,2.950704386655509,11.030682,2.5189102,-0.7810049
29036093000.0,57674007000.0,194.34198,0.5821424,24.719973,17.184431,3.5962365,86710100000.0,0.665136,1.7821445091663122,10.938069,2.2885666,-0.03593445
67762176000.0,0.0,252.44823,1.4292004,25.537582,17.95919,0.0,67762176000.0,0.0,1.442348528566203,10.830987,2.4021723,-0.55616283
49894117000.0,3465728800.0,196.28123,0.3039429,27.653301,17.940432,0.0,53359845000.0,0.06495013,0.8307635960138895,10.727215,2.2928789,-0.2624712
44136755000.0,2629841400.0,193.52301,1.8276764,25.397417,18.619299,0.0,46766596000.0,0.056233328,1.4750479666064595,10.669936,2.2867327,-0.2973976
37582803000.0,7036331500.0,234.66841,74.7357,24.650198,16.704525,0.0,44619133000.0,0.15769763,1.8590075847473366,10.649521,2.3704545,-0.622282
29564340000.0,5399790000.0,196.95126,1.8577139,25.990385,19.931873,0.059434626,34964130000.0,0.15443799,0.6648841776363033,10.543623,2.2943587,-0.45144463
51341160000.0,0.0,235.60658,0.18000866,25.750902,17.984972,0.0,51341160000.0,0.0,1.3256426379680541,10.710465,2.3721874,-0.56763935
77012390000.0,0.0,256.8405,0.7790284,26.444614,18.24007,0.0,77012390000.0,0.0,3.408864431429542,10.88656,2.4096634,-0.52783203
44120072000.0,4256160300.0,199.85791,0.71977645,26.065008,17.52013,0.45162132,48376234000.0,0.0879804,2.0533674275977893,10.684632,2.3007214,-0.3335743
39299270000.0,0.0,199.20024,0.7185916,27.545311,17.644285,0.0,39299270000.0,0.0,1.2249826867630909,10.594384,2.29929,-0.4186163
51320033000.0,0.0,243.61096,0.7383929,26.897537,17.542934,0.0,51320033000.0,0.0,2.591815353830242,10.710287,2.3866968,-0.62058353
41275900000.0,0.0,232.56429,0.88239324,26.185514,17.676622,0.0,41275900000.0,0.0,2.1917662467053045,10.615697,2.366543,-0.641881
26888974000.0,4361327000.0,184.40639,0.82276356,26.144829,19.978884,0.42312476,31250300000.0,0.13956112,1.0382970452083604,10.494854,2.265776,-0.39626694
13369901000.0,35252126000.0,151.95305,1.2523206,26.284533,19.722652,2.2517612,48622027000.0,0.7250238,1.3509206998203398,10.686833,2.1817095,0.101433754
23341218000.0,1564677500.0,152.97777,0.61733377,26.386446,19.90594,0.12213372,24905896000.0,0.06282358,1.066387175115462,10.396302,2.1846282,-0.1997118
26985705000.0,32258684.0,185.35663,0.96400267,27.382607,17.86813,0.0,27017964000.0,0.0011939717,1.6679103918632667,10.431653,2.2680082,-0.46758652
28624220000.0,0.0,231.82819,0.9342047,26.68187,18.9701,0.0,28624220000.0,0.0,1.5295395829284615,10.456734,2.3651662,-0.7958374
47906505000.0,13755481000.0,232.5091,0.21385306,24.58387,16.74159,7.7620635,61661987000.0,0.22307879,2.480635621095374,10.790017,2.36644,-0.46718597
7974474000.0,31649073000.0,140.30725,0.51305556,27.127193,15.963644,2.2630506,39623550000.0,0.798744,1.2558382057954613,10.597954,2.1470802,0.13848972
25130009000.0,10109716000.0,198.5136,74.87867,24.284607,16.848562,1.854935,35239723000.0,0.2868841,1.8867011218135115,10.547032,2.2977903,-0.46051502
24690172000.0,0.0,206.2314,0.11939398,27.667498,18.077284,0.0,24690172000.0,0.0,0.703424731982689,10.392524,2.314355,-0.6752634
45522715000.0,0.0,240.49788,0.6620149,26.417416,18.101479,0.0,45522715000.0,0.0,2.9738520059523883,10.658228,2.3811111,-0.65232944
25029323000.0,0.0,204.784,1.5884763,25.4881,18.007605,0.0,25029323000.0,0.0,1.4784128218040642,10.398449,2.311296,-0.6582136
29656695000.0,0.0,203.71666,0.4742259,26.316542,18.4513,0.0,29656695000.0,0.0,2.132108548475262,10.472123,2.3090265,-0.5762863
10575794000.0,28719206000.0,148.86702,74.86286,24.112108,16.948435,1.7775145,39295000000.0,0.7308616,1.4987230328821777,10.594337,2.1727984,0.041344643
31664820000.0,0.0,203.5279,0.4342264,27.169,16.47151,0.0,31664820000.0,0.0,1.3061703481995566,10.500577,2.308624,-0.5463686
26397444000.0,3302426400.0,181.00603,74.725464,24.205284,16.96604,0.33902478,29699870000.0,0.11119329,1.6940223110670454,10.4727545,2.257693,-0.38897228
12423550000.0,21835493000.0,146.7046,0.45000857,24.54172,17.269625,2.0938554,34259042000.0,0.6373644,1.8711428023482668,10.534775,2.1664438,0.0048913956
28036592000.0,5082517500.0,172.49535,0.54556966,26.752802,17.736183,0.5442667,33119110000.0,0.15346178,2.3926760842086217,10.520079,2.2367773,-0.265584
42635280000.0,0.0,224.02054,1.0051583,25.839102,18.767292,0.0,42635280000.0,0.0,2.063568043528818,10.629769,2.350288,-0.5686941
18912635000.0,23179926000.0,159.61594,0.156379,27.168076,17.241875,2.0991147,42092560000.0,0.55068934,1.3862891094913832,10.624206,2.2030764,-0.038898468
42530330000.0,0.0,230.47964,0.035618078,24.718485,16.940138,0.0,42530330000.0,0.0,2.849201378691434,10.628698,2.3626325,-0.61465836
